Authors,Data type,In/OFF clinic,ML/DL,Meds ON/OFF,Modality,N,Sample size,Scale versio,Scale version,Sensor-Placement,Type of Ground truth,Wearable,Year,fn,fp,studyid,tn,tp
Channa et al.,1D (Time-Series),In clinic,DL,Mixed,Inertial - IMU,2228,N≥60,MDS-UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2025,16,55,22,1484,673
Channa et al.,1D (Time-Series),In clinic,DL,Mixed,Inertial - IMU,2228,N≥60,MDS-UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2025,45,28,23,1456,699
Channa et al.,1D (Time-Series),In clinic,DL,Mixed,Inertial - IMU,2228,N≥60,MDS-UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2025,44,56,24,1776,352
Channa et al.,1D (Time-Series),In clinic,DL,Mixed,Inertial - IMU,2228,N≥60,MDS-UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2025,38,32,25,1862,296
Channa et al.,1D (Time-Series),In clinic,DL,Mixed,Inertial - IMU,2228,N≥60,MDS-UPDRS,,Wrist,Standardized Clinical Scale,Wearable,2025,41,13,26,2150,24
Wang et al.,1D (Time-Series),In clinic,ML,NR,Optical fiber (curvature),365,N≥60,Bain and Findley scale,,Vision-Based (non-contact),Standardized Clinical Scale,Non-Wearable,2021,66,109,27,67,123
Wang et al.,1D (Time-Series),In clinic,ML,NR,Optical fiber (curvature),365,N≥60,Bain and Findley scale,,Vision-Based (non-contact),Standardized Clinical Scale,Non-Wearable,2021,62,113,28,63,127
Wang et al.,1D (Time-Series),In clinic,DL,NR,Optical fiber (curvature),365,N≥60,Bain and Findley scale,,Vision-Based (non-contact),Standardized Clinical Scale,Non-Wearable,2021,40,40,29,136,149
Wang et al.,1D (Time-Series),In clinic,DL,NR,Optical fiber (curvature),365,N≥60,Bain and Findley scale,,Vision-Based (non-contact),Standardized Clinical Scale,Non-Wearable,2021,40,35,30,141,149
Rodriguez et al.,1D (Time-Series),In clinic,ML,ON,Inertial - IMU,225,N≥60,Bespoke Clinical Scale,,Multi-Site,Non-standardized Custom Clinical Scale,Wearable,2024,16,2,31,77,130
Rodriguez et al.,1D (Time-Series),In clinic,ML,ON,Inertial - IMU,4203,N≥60,Bespoke Clinical Scale,,Multi-Site,Non-standardized Custom Clinical Scale,Wearable,2024,4,146,32,3991,62
Jin et al.,1D (Time-Series),In clinic,ML,NR,Inertial - IMU,1964,N≥60,UPDRS,,Multi-Site,Standardized Clinical Scale,Wearable,2024,34,36,33,1417,477
